scenario,policy,group,hidden_pose_error_cm,clearance_error_cm,unsafe_clearance_rate,false_external_shadow_rate,safe_action_success,self_occlusion_f1,utility,oracle_regret
wrist_self_occlusion,shadow_removal_inpainting,all,4.426924,4.882381,0.383370,0.151306,0.451132,0.523733,-0.143159,0.776105
wrist_self_occlusion,kinematic_only_self_model,all,4.578337,5.013412,0.394315,0.089803,0.440066,0.517573,-0.162456,0.795402
wrist_self_occlusion,nonshadow_visual_silhouette,all,4.417941,4.874607,0.376951,0.146405,0.454349,0.526199,-0.136065,0.769011
wrist_self_occlusion,generic_photometric_residual,all,4.375096,4.837531,0.352946,0.301110,0.454978,0.562728,-0.135688,0.768634
wrist_self_occlusion,robot_self_shadow_state,all,1.778533,2.125518,0.071270,0.051085,0.788960,0.749613,0.483197,0.149749
wrist_self_occlusion,oracle_self_state_estimator,all,1.061306,0.801405,0.048725,0.032526,0.884764,0.821152,0.638957,0.000000
gripper_cast_shadow,shadow_removal_inpainting,all,4.397591,4.798997,0.374865,0.155706,0.458583,0.522123,-0.130364,0.763310
gripper_cast_shadow,kinematic_only_self_model,all,4.510712,4.896890,0.383947,0.092203,0.451237,0.516318,-0.143226,0.776172
gripper_cast_shadow,nonshadow_visual_silhouette,all,4.395828,4.797471,0.369059,0.149605,0.461120,0.524170,-0.124325,0.757271
gripper_cast_shadow,generic_photometric_residual,all,4.372144,4.776975,0.346484,0.307910,0.459536,0.559937,-0.127014,0.759960
gripper_cast_shadow,robot_self_shadow_state,all,1.706924,2.055035,0.068408,0.051422,0.795802,0.751290,0.494698,0.138248
gripper_cast_shadow,oracle_self_state_estimator,all,1.041706,0.786605,0.047625,0.033226,0.886499,0.819894,0.641977,0.000000
elbow_table_shadow,shadow_removal_inpainting,all,4.418307,4.657424,0.358195,0.160106,0.469527,0.517754,-0.109418,0.742364
elbow_table_shadow,kinematic_only_self_model,all,4.555553,4.776195,0.367270,0.094603,0.460466,0.513594,-0.124199,0.757145
elbow_table_shadow,nonshadow_visual_silhouette,all,4.422784,4.661299,0.351299,0.152805,0.472038,0.522027,-0.102986,0.735932
elbow_table_shadow,generic_photometric_residual,all,4.451860,4.686460,0.334185,0.314710,0.464286,0.553196,-0.116020,0.748966
